CVE_ZM,NOM_ZM,CVE_MUN,NOM_MUN,CVE_ENT,NOM_ENT
20.01,Oaxaca,20553,Tlalixtac de Cabrera,20,Oaxaca
20.01,Oaxaca,20565,Villa de Zaachila,20,Oaxaca
21.01,Puebla-Tlaxcala,21001,Acajete,21,Puebla
21.01,Puebla-Tlaxcala,21015,Amozoc,21,Puebla
21.01,Puebla-Tlaxcala,21034,Coronango,21,Puebla
21.01,Puebla-Tlaxcala,21041,Cuautlancingo,21,Puebla
21.01,Puebla-Tlaxcala,21048,Chiautzingo,21,Puebla
21.01,Puebla-Tlaxcala,21060,Domingo Arenas,21,Puebla
21.01,Puebla-Tlaxcala,21074,Huejotzingo,21,Puebla
21.01,Puebla-Tlaxcala,21090,Juan C. Bonilla,21,Puebla
21.01,Puebla-Tlaxcala,21106,Ocoyucan,21,Puebla
21.01,Puebla-Tlaxcala,21114,Puebla,21,Puebla
21.01,Puebla-Tlaxcala,21119,San Andrés Cholula,21,Puebla
21.01,Puebla-Tlaxcala,21122,San Felipe Teotlalcingo,21,Puebla
21.01,Puebla-Tlaxcala,21125,San Gregorio Atzompa,21,Puebla
21.01,Puebla-Tlaxcala,21132,San Martín Texmelucan,21,Puebla
21.01,Puebla-Tlaxcala,21136,San Miguel Xoxtla,21,Puebla
21.01,Puebla-Tlaxcala,21140,San Pedro Cholula,21,Puebla
21.01,Puebla-Tlaxcala,21143,San Salvador el Verde,21,Puebla
21.01,Puebla-Tlaxcala,21163,Tepatlaxco de Hidalgo,21,Puebla
21.01,Puebla-Tlaxcala,21181,Tlaltenango,21,Puebla
21.01,Puebla-Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,21,Puebla
21.01,Puebla-Tlaxcala,29017,Mazatecochco de José María Morelos,21,Puebla
21.01,Puebla-Tlaxcala,29019,Tepetitla de Lardizábal,21,Puebla
21.01,Puebla-Tlaxcala,29022,Acuamanala de Miguel Hidalgo,21,Puebla
21.01,Puebla-Tlaxcala,29023,Natívitas,21,Puebla
21.01,Puebla-Tlaxcala,29025,San Pablo del Monte,21,Puebla
21.01,Puebla-Tlaxcala,29027,Tenancingo,21,Puebla
21.01,Puebla-Tlaxcala,29028,Teolocholco,21,Puebla
21.01,Puebla-Tlaxcala,29029,Tepeyanco,21,Puebla
21.01,Puebla-Tlaxcala,29032,Tetlatlahuca,21,Puebla
21.01,Puebla-Tlaxcala,29041,Papalotla de Xicohténcatl,21,Puebla
21.01,Puebla-Tlaxcala,29042,Xicohtzinco,21,Puebla
21.01,Puebla-Tlaxcala,29044,Zacatelco,21,Puebla
21.01,Puebla-Tlaxcala,29051,San Jerónimo Zacualpan,21,Puebla
21.01,Puebla-Tlaxcala,29053,San Juan Huactzinco,21,Puebla
21.01,Puebla-Tlaxcala,29054,San Lorenzo Axocomanitla,21,Puebla
21.01,Puebla-Tlaxcala,29056,Santa Ana Nopalucan,21,Puebla
21.01,Puebla-Tlaxcala,29057,Santa Apolonia Teacalco,21,Puebla
21.01,Puebla-Tlaxcala,29058,Santa Catarina Ayometla,21,Puebla
21.01,Puebla-Tlaxcala,29059,Santa Cruz Quilehtla,21,Puebla
22.01,Querétaro,11004,Apaseo el Alto,22,Querétaro
22.01,Querétaro,22006,Corregidora,22,Querétaro
22.01,Querétaro,22008,Huimilpan,22,Querétaro
22.01,Querétaro,22011,El Marqués,22,Querétaro
22.01,Querétaro,22014,Querétaro,22,Querétaro
23.01,Cancún,23003,Isla Mujeres,23,Quintana Roo
23.01,Cancún,23005,Benito Juárez,23,Quintana Roo
24.02,San Luis Potosí,24028,San Luis Potosí,24,San Luis Potosí
24.02,San Luis Potosí,24035,Soledad de Graciano Sánchez,24,San Luis Potosí
24.02,San Luis Potosí,24055,Zaragoza,24,San Luis Potosí
25.01,Culiacán,25006,Culiacán,25,Sinaloa
26.02,Hermosillo,26030,Hermosillo,26,Sonora
27.01,Villahermosa,27004,Centro,27,Tabasco
27.01,Villahermosa,27013,Nacajuca,27,Tabasco
28.05,Tampico,28003,Altamira,28,Tamaulipas
28.05,Tampico,28009,Ciudad Madero,28,Tamaulipas
28.05,Tampico,28038,Tampico,28,Tamaulipas
28.05,Tampico,30123,Pánuco,28,Tamaulipas
28.05,Tampico,30133,Pueblo Viejo,28,Tamaulipas
29.01,Tlaxcala-Apizaco,29001,Amaxac de Guerrero,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29002,Apetatitlán de Antonio Carvajal,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29005,Apizaco,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29009,Cuaxomulco,29,Tlaxcala
29.01,Tlaxcala-Apizaco,29010,Chiautempan,29,Tlaxcala
